,sink_node_id,src_node_id,switch
708,442,149,8
709,443,149,3
710,444,149,5
711,445,149,8
712,446,149,6
713,447,149,5
714,448,149,2
715,449,149,5
716,450,149,5
717,451,149,5
718,534,149,13
719,535,149,14
720,536,149,13
721,537,149,10
722,726,150,8
723,727,150,7
724,728,150,4
725,729,150,8
726,730,150,3
727,731,150,2
728,732,150,3
729,733,150,4
730,734,150,8
731,735,150,8
732,736,150,15
733,737,150,8
734,738,150,2
735,739,150,2
736,740,150,15
737,741,150,4
738,742,150,7
739,743,150,15
740,744,150,3
741,745,150,3
742,746,150,8
743,747,150,2
744,748,150,8
745,749,150,8
746,750,150,5
747,751,150,3
748,834,150,10
749,835,150,17
750,836,150,10
751,837,150,10
752,250,151,2
753,251,151,3
754,252,151,4
755,253,151,5
756,356,151,8
757,357,151,2
758,358,151,5
759,359,151,7
760,360,151,5
761,361,151,3
762,362,151,5
763,363,151,2
764,364,151,7
765,365,151,8
766,366,151,8
767,367,151,7
768,368,151,8
769,369,151,2
770,370,151,2
771,371,151,6
772,372,151,3
773,373,151,7
774,374,151,2
775,375,151,5
776,376,151,2
777,377,151,2
778,392,151,12
779,393,151,10
780,394,151,14
781,395,151,14
782,550,152,4
783,551,152,8
784,656,152,3
785,657,152,3
786,658,152,8
787,659,152,3
788,660,152,8
789,661,152,2
790,662,152,15
791,663,152,4
792,664,152,8
793,665,152,8
794,666,152,4
795,667,152,3
796,668,152,15
797,669,152,7
798,670,152,2
799,671,152,3
800,672,152,3
801,673,152,3
802,674,152,3
803,675,152,3
804,676,152,2
805,677,152,8
806,692,152,10
807,693,152,12
808,694,152,14
809,695,152,13
810,112,153,0
811,179,155,0
812,182,158,0
813,185,161,0
814,188,164,0
815,191,167,0
816,194,170,0
817,197,173,0
818,200,176,0
819,154,178,0
820,452,179,2
821,453,179,2
822,454,179,5
823,455,179,2
824,456,179,7
825,457,179,2
826,458,179,2
827,459,179,2
828,460,179,3
829,461,179,5
830,462,179,7
831,463,179,3
832,464,179,2
833,465,179,2
834,466,179,2
835,467,179,5
836,468,179,8
837,469,179,2
838,470,179,8
839,471,179,8
840,472,179,8
841,473,179,4
842,474,179,7
843,475,179,2
844,476,179,2
845,477,179,8
846,538,179,11
847,539,179,14
848,540,179,9
849,541,179,13
850,156,180,0
851,157,181,0
852,478,182,5
853,479,182,5
854,480,182,2
855,481,182,7
