,id,chan,dir,ptc,xhigh,xlow,yhigh,ylow
327,327,CHANX,DEC_DIR,27,1,1,1,1
328,328,CHANX,INC_DIR,28,1,1,1,1
329,329,CHANX,DEC_DIR,29,1,1,1,1
330,330,CHANX,INC_DIR,30,1,1,1,1
331,331,CHANX,DEC_DIR,31,1,1,1,1
332,332,CHANX,INC_DIR,32,1,1,1,1
333,333,CHANX,DEC_DIR,33,1,1,1,1
334,334,CHANX,INC_DIR,34,1,1,1,1
335,335,CHANX,DEC_DIR,35,1,1,1,1
336,336,CHANX,INC_DIR,36,1,1,1,1
337,337,CHANX,DEC_DIR,37,1,1,1,1
338,338,CHANX,INC_DIR,38,1,1,1,1
339,339,CHANX,DEC_DIR,39,1,1,1,1
340,340,CHANX,INC_DIR,40,1,1,1,1
341,341,CHANX,DEC_DIR,41,1,1,1,1
342,342,CHANX,INC_DIR,42,1,1,1,1
343,343,CHANX,DEC_DIR,43,1,1,1,1
344,344,CHANX,INC_DIR,44,1,1,1,1
345,345,CHANX,DEC_DIR,45,1,1,1,1
346,346,CHANX,INC_DIR,46,1,1,1,1
347,347,CHANX,DEC_DIR,47,1,1,1,1
348,348,CHANX,INC_DIR,48,1,1,1,1
349,349,CHANX,DEC_DIR,49,1,1,1,1
350,350,CHANY,INC_DIR,0,0,0,1,1
351,351,CHANY,DEC_DIR,1,0,0,1,1
352,352,CHANY,INC_DIR,2,0,0,1,1
353,353,CHANY,DEC_DIR,3,0,0,1,1
354,354,CHANY,INC_DIR,4,0,0,1,1
355,355,CHANY,DEC_DIR,5,0,0,1,1
356,356,CHANY,INC_DIR,6,0,0,1,1
357,357,CHANY,DEC_DIR,7,0,0,1,1
358,358,CHANY,INC_DIR,8,0,0,1,1
359,359,CHANY,DEC_DIR,9,0,0,1,1
360,360,CHANY,INC_DIR,10,0,0,1,1
361,361,CHANY,DEC_DIR,11,0,0,1,1
362,362,CHANY,INC_DIR,12,0,0,1,1
363,363,CHANY,DEC_DIR,13,0,0,1,1
